Q1_gender,Q2_age,Q3_country,Q4_education,Q5_major,Q6_role,Q7_industry,Q8_experience,Q10_employer_uses_ml,Q17_primary_language,Q24_coding_experience,Q25_ml_experience,Q26_is_data_scientist,Q39_online_vs_trad,Q41_fairness_importance,Q43_bias_exploration,Q48_black_box_view,compensation_high
Male,25-29,India,Master's degree,Natural Sciences,Data Scientist,Education/Research,5-10 years,I do not know,Python,3-5 years,5-10 years,Yes,Slightly worse,Important,0%,Yes,high
Non-binary/third gender,25-29,India,Doctoral degree,Computer Science,Data Scientist,Finance,0-1 years,We are exploring ML methods,Python,10-20 years,3-5 years,Yes,Much better,Important,25-49%,Somewhat,low
Male,40-44,United States,Master's degree,Engineering,Research Scientist,Other,5-10 years,Yes,Python,20+ years,< 1 year,No,Slightly worse,Somewhat Important,0%,No,high
Male,25-29,Other,Bachelor's degree,Mathematics/Statistics,Other,Technology,0-1 years,Yes,Python,10-20 years,3-5 years,Yes,Slightly worse,Very Important,0%,Somewhat,low
Male,40-44,India,Bachelor's degree,Engineering,Data Analyst,Education/Research,5-10 years,Yes,Python,3-5 years,1-2 years,Sort of,Slightly worse,Somewhat Important,0%,Somewhat,low
Male,22-24,Germany,Bachelor's degree,Natural Sciences,Data Scientist,Healthcare,2-3 years,No,Python,10-20 years,3-5 years,No,Slightly better,Very Important,50-74%,No,low
Male,35-39,United States,Bachelor's degree,Other,Software Engineer,Retail/E-Commerce,10-15 years,No,Python,5-10 years,< 1 year,No,Slightly better,Important,75-100%,No,high
Female,40-44,Other,Master's degree,Computer Science,Software Engineer,Finance,15-20 years,Yes,Python,10-20 years,3-5 years,Sort of,Slightly better,Important,25-49%,Yes,high
Male,22-24,Brazil,Master's degree,Natural Sciences,Software Engineer,Healthcare,2-3 years,Yes,Python,1-2 years,1-2 years,No,Slightly better,No opinion,25-49%,Somewhat,low
Male,25-29,Brazil,Bachelor's degree,Computer Science,Data Scientist,Technology,3-5 years,We are exploring ML methods,Python,5-10 years,1-2 years,No,Slightly better,Important,1-25%,No,low
Male,22-24,Germany,Bachelor's degree,Engineering,Business Analyst,Finance,3-5 years,I do not know,Java,10-20 years,20+ years,No,Much better,Somewhat Important,1-25%,Yes,low
Non-binary/third gender,35-39,China,Bachelor's degree,Computer Science,Data Analyst,Government,1-2 years,Yes,Python,10-20 years,1-2 years,No,Slightly worse,Important,25-49%,No,low
Female,30-34,United Kingdom,Professional degree,Computer Science,Machine Learning Engineer,Other,15-20 years,Yes,SQL,20+ years,3-5 years,Sort of,Slightly better,No opinion,0%,No,high
Male,30-34,India,Master's degree,Engineering,Data Scientist,Healthcare,3-5 years,No,JavaScript,< 1 year,3-5 years,Sort of,Neither better nor worse,Very Important,0%,Yes,high
Male,22-24,India,Doctoral degree,Engineering,Data Scientist,Finance,1-2 years,Yes,Python,3-5 years,< 1 year,Yes,Slightly worse,Somewhat Important,25-49%,Yes,low
Male,22-24,United States,Doctoral degree,Business,Research Scientist,Retail/E-Commerce,5-10 years,Yes,Python,5-10 years,5-10 years,Sort of,Slightly worse,Somewhat Important,0%,No,high
Male,18-21,United States,Master's degree,Natural Sciences,Student,Technology,1-2 years,I do not know,Python,3-5 years,1-2 years,Sort of,Neither better nor worse,Somewhat Important,1-25%,No,low
Male,25-29,United States,Master's degree,Other,Data Analyst,Technology,1-2 years,Yes,Python,3-5 years,5-10 years,No,Neither better nor worse,Not Important,25-49%,Somewhat,low
Male,30-34,United States,Bachelor's degree,Mathematics/Statistics,Student,Education/Research,3-5 years,Yes,Python,1-2 years,3-5 years,No,Slightly better,Somewhat Important,1-25%,Yes,high
Male,40-44,United States,Master's degree,Computer Science,Student,Technology,5-10 years,Yes,SQL,10-20 years,1-2 years,No,Slightly better,Not Important,25-49%,Somewhat,high
Male,30-34,United States,Bachelor's degree,Engineering,Data Scientist,Other,3-5 years,Yes,Python,20+ years,1-2 years,Yes,Much better,Very Important,1-25%,No,high
Male,25-29,United States,Doctoral degree,Engineering,Data Scientist,Finance,5-10 years,Yes,Other,1-2 years,3-5 years,Yes,Much better,Very Important,0%,Yes,high
Male,50-54,United Kingdom,Bachelor's degree,Engineering,Machine Learning Engineer,Finance,0-1 years,Yes,SQL,1-2 years,3-5 years,Sort of,Slightly worse,Important,0%,No,low
Male,35-39,United States,Doctoral degree,Mathematics/Statistics,Data Analyst,Education/Research,3-5 years,Yes,R,3-5 years,3-5 years,No,Slightly better,Not Important,0%,Somewhat,high
Male,50-54,China,Bachelor's degree,Mathematics/Statistics,Software Engineer,Healthcare,2-3 years,No,Python,5-10 years,< 1 year,Yes,Much better,Important,0%,No,low
Male,30-34,United States,Some college/no degree,Engineering,Data Analyst,Finance,20+ years,We are exploring ML methods,Python,10-20 years,5-10 years,No,Neither better nor worse,Somewhat Important,0%,Somewhat,high
Male,25-29,United Kingdom,Bachelor's degree,Computer Science,Data Analyst,Technology,0-1 years,No,Python,< 1 year,1-2 years,Yes,Neither better nor worse,Important,0%,Yes,low
Male,18-21,Germany,Master's degree,Computer Science,Business Analyst,Healthcare,2-3 years,Yes,Python,5-10 years,3-5 years,Sort of,Slightly better,Somewhat Important,0%,Somewhat,low
Male,35-39,Other,Master's degree,Computer Science,Data Scientist,Technology,15-20 years,Yes,C/C++,1-2 years,< 1 year,No,Slightly better,Very Important,1-25%,No,high
Male,22-24,China,Master's degree,Computer Science,Software Engineer,Technology,20+ years,Yes,Python,20+ years,1-2 years,No,Neither better nor worse,Important,1-25%,Somewhat,high
Male,25-29,United States,Master's degree,Natural Sciences,Data Analyst,Education/Research,10-15 years,Yes,Python,10-20 years,3-5 years,Yes,Neither better nor worse,Important,25-49%,Somewhat,high
Male,30-34,Australia,Some college/no degree,Computer Science,Machine Learning Engineer,Technology,0-1 years,Yes,C/C++,20+ years,1-2 years,Sort of,Neither better nor worse,Important,0%,No,low
Male,30-34,Germany,Bachelor's degree,Natural Sciences,Research Scientist,Other,3-5 years,Yes,Python,1-2 years,5-10 years,Sort of,Slightly better,Somewhat Important,25-49%,No,high
Female,30-34,United Kingdom,Some college/no degree,Engineering,Business Analyst,Education/Research,2-3 years,No,R,5-10 years,3-5 years,Sort of,Much better,Very Important,0%,Yes,low
Non-binary/third gender,22-24,Other,Master's degree,Computer Science,Student,Other,10-15 years,No,Python,1-2 years,5-10 years,No,Much better,Not Important,75-100%,No,low
Female,25-29,India,Doctoral degree,Social Sciences,Research Scientist,Technology,0-1 years,No,Python,5-10 years,1-2 years,Sort of,Slightly better,Important,0%,No,low
Male,30-34,United Kingdom,Master's degree,Mathematics/Statistics,Data Scientist,Other,1-2 years,We are exploring ML methods,C/C++,3-5 years,< 1 year,Yes,Slightly better,Somewhat Important,50-74%,No,high
Male,50-54,United States,Master's degree,Computer Science,Data Analyst,Technology,3-5 years,Yes,JavaScript,10-20 years,3-5 years,Yes,Slightly worse,Important,0%,No,high
Male,35-39,Other,Doctoral degree,Business,Machine Learning Engineer,Technology,1-2 years,We are exploring ML methods,Python,5-10 years,1-2 years,No,Neither better nor worse,Very Important,75-100%,Somewhat,low
Male,45-49,United States,Master's degree,Computer Science,Student,Technology,5-10 years,Yes,Python,5-10 years,1-2 years,Yes,Neither better nor worse,Important,25-49%,Yes,high
Male,35-39,United Kingdom,Master's degree,Computer Science,Other,Finance,10-15 years,Yes,Python,10-20 years,3-5 years,Yes,Slightly better,Somewhat Important,1-25%,No,high
Male,30-34,United States,Bachelor's degree,Natural Sciences,Research Scientist,Technology,5-10 years,We are exploring ML methods,SQL,5-10 years,3-5 years,No,Slightly better,Somewhat Important,1-25%,No,high
Male,22-24,United States,Bachelor's degree,Natural Sciences,Data Analyst,Education/Research,3-5 years,Yes,R,3-5 years,< 1 year,No,Slightly better,Important,0%,Somewhat,high
Female,30-34,Other,Master's degree,Computer Science,Data Scientist,Technology,10-15 years,Yes,Python,5-10 years,5-10 years,Sort of,Much better,No opinion,0%,Somewhat,high
Male,30-34,Brazil,Master's degree,Computer Science,Data Scientist,Technology,1-2 years,Yes,Python,20+ years,3-5 years,Yes,Neither better nor worse,Important,0%,No,low
Male,30-34,Other,Master's degree,Social Sciences,Data Scientist,Education/Research,1-2 years,Yes,JavaScript,5-10 years,3-5 years,Sort of,Neither better nor worse,Important,1-25%,No,low
Male,30-34,United States,Bachelor's degree,Engineering,Data Scientist,Technology,3-5 years,We are exploring ML methods,Python,5-10 years,1-2 years,Yes,Slightly worse,Very Important,0%,Somewhat,high
Male,30-34,United States,Master's degree,Computer Science,Data Analyst,Healthcare,0-1 years,Yes,R,20+ years,1-2 years,No,Neither better nor worse,Very Important,1-25%,Yes,low
Male,25-29,Brazil,Master's degree,Engineering,Software Engineer,Education/Research,0-1 years,We are exploring ML methods,C/C++,5-10 years,3-5 years,Yes,Slightly worse,Important,25-49%,No,low
Male,30-34,Australia,Master's degree,Business,Research Scientist,Other,2-3 years,Yes,Python,20+ years,5-10 years,No,Much worse,Very Important,1-25%,Yes,high
Non-binary/third gender,22-24,Russia,Some college/no degree,Computer Science,Data Analyst,Finance,15-20 years,Yes,R,1-2 years,1-2 years,Sort of,Much worse,Important,0%,Somewhat,low
Male,40-44,India,Doctoral degree,Natural Sciences,Research Scientist,Other,15-20 years,Yes,Python,5-10 years,3-5 years,No,Neither better nor worse,Not Important,1-25%,No,high
Female,22-24,United Kingdom,Bachelor's degree,Mathematics/Statistics,Data Analyst,Education/Research,3-5 years,Yes,Other,1-2 years,1-2 years,Yes,Slightly better,Important,0%,No,low
Female,22-24,India,Some college/no degree,Engineering,Software Engineer,Other,1-2 years,Yes,Python,3-5 years,5-10 years,No,Much better,Important,0%,No,low
Male,25-29,Other,Master's degree,Natural Sciences,Other,Technology,1-2 years,No,Python,1-2 years,3-5 years,No,Much worse,Very Important,1-25%,Somewhat,low
Female,30-34,India,Doctoral degree,Other,Data Scientist,Healthcare,2-3 years,Yes,Python,3-5 years,5-10 years,Yes,Slightly better,Very Important,0%,Somewhat,low
Male,25-29,India,Bachelor's degree,Computer Science,Business Analyst,Retail/E-Commerce,1-2 years,I do not know,SQL,1-2 years,1-2 years,Sort of,Much better,Very Important,0%,Yes,low
Male,25-29,Brazil,Master's degree,Computer Science,Software Engineer,Technology,0-1 years,I do not know,Python,3-5 years,1-2 years,Yes,Slightly better,Important,50-74%,Somewhat,low
Male,30-34,Other,Bachelor's degree,Business,Data Analyst,Education/Research,5-10 years,Yes,Python,1-2 years,1-2 years,No,Neither better nor worse,Important,75-100%,No,high
Male,25-29,United States,Master's degree,Mathematics/Statistics,Data Scientist,Retail/E-Commerce,3-5 years,I do not know,Python,10-20 years,1-2 years,Yes,Slightly worse,Very Important,25-49%,Yes,high
Male,50-54,United States,Bachelor's degree,Engineering,Data Scientist,Education/Research,2-3 years,We are exploring ML methods,Python,3-5 years,1-2 years,Yes,Slightly better,Important,0%,No,low
Male,45-49,United States,Bachelor's degree,Mathematics/Statistics,Data Analyst,Technology,5-10 years,No,SQL,3-5 years,1-2 years,Sort of,Slightly better,Important,0%,Somewhat,high
Female,30-34,Other,Bachelor's degree,Natural Sciences,Machine Learning Engineer,Healthcare,5-10 years,Yes,Python,< 1 year,5-10 years,Yes,Neither better nor worse,Somewhat Important,25-49%,No,high
Male,25-29,United States,Bachelor's degree,Natural Sciences,Software Engineer,Technology,3-5 years,Yes,SQL,1-2 years,< 1 year,Yes,Neither better nor worse,Important,75-100%,Yes,high
Male,35-39,United States,Bachelor's degree,Business,Research Scientist,Retail/E-Commerce,0-1 years,I do not know,SQL,10-20 years,5-10 years,No,Much better,Very Important,0%,Somewhat,high
Male,18-21,Other,Master's degree,Engineering,Software Engineer,Technology,15-20 years,Yes,Java,10-20 years,< 1 year,Yes,Slightly worse,Somewhat Important,50-74%,Somewhat,high
Male,25-29,China,Bachelor's degree,Computer Science,Software Engineer,Technology,5-10 years,Yes,R,10-20 years,20+ years,No,Neither better nor worse,Important,25-49%,No,high
Female,25-29,China,Master's degree,Mathematics/Statistics,Business Analyst,Technology,1-2 years,Yes,Python,3-5 years,20+ years,No,Much better,Not Important,75-100%,No,low
Male,45-49,India,Bachelor's degree,Engineering,Student,Education/Research,5-10 years,Yes,Python,1-2 years,1-2 years,Sort of,Much better,Very Important,0%,No,low
